keycol,delay,Taxi_Rides
637_6_17,0,35
638_6_17,1,40
640_6_17,0,9
0_6_18,0,43
0_6_18,0,9
0_6_18,0,9
0_6_18,0,39
0_6_18,0,16
0_6_18,0,7
113_6_18,0,3
115_6_18,0,2
116_6_18,0,2
117_6_18,0,15
118_6_18,0,25
119_6_18,0,17
120_6_18,0,36
121_6_18,1,36
122_6_18,0,38
123_6_18,0,66
124_6_18,0,60
125_6_18,0,107
126_6_18,0,74
127_6_18,0,20
128_6_18,1,145
129_6_18,0,63
130_6_18,2,40
131_6_18,1,29
132_6_18,0,41
133_6_18,0,23
134_6_18,0,29
135_6_18,2,12
136_6_18,1,8
137_6_18,0,23
138_6_18,3,1
140_6_18,0,24
224_6_18,0,2
225_6_18,0,5
226_6_18,0,3
227_6_18,0,1
228_6_18,0,13
229_6_18,0,8
230_6_18,0,17
232_6_18,0,1
233_6_18,0,2
234_6_18,1,1
235_6_18,0,7
236_6_18,1,1
237_6_18,0,2
418_6_18,0,20
419_6_18,0,8
420_6_18,0,14
621_6_18,0,8
622_6_18,0,2
623_6_18,0,5
624_6_18,1,3
625_6_18,0,13
626_6_18,0,105
627_6_18,0,48
628_6_18,0,40
629_6_18,0,78
630_6_18,0,74
631_6_18,0,55
632_6_18,0,74
633_6_18,0,67
634_6_18,0,75
635_6_18,0,70
636_6_18,0,53
637_6_18,0,25
638_6_18,0,43
640_6_18,1,13
0_6_19,0,47
0_6_19,0,15
0_6_19,0,8
0_6_19,0,28
0_6_19,0,14
0_6_19,0,1
0_6_19,0,8
0_6_19,0,9
104_6_19,2,1
110_6_19,3,1
114_6_19,2,2
115_6_19,3,1
116_6_19,2,9
117_6_19,2,7
118_6_19,1,23
119_6_19,1,14
120_6_19,2,35
121_6_19,1,32
122_6_19,2,38
123_6_19,1,69
124_6_19,2,63
125_6_19,1,135
126_6_19,2,48
127_6_19,1,32
128_6_19,0,194
129_6_19,3,47
130_6_19,1,37
131_6_19,2,35
132_6_19,0,40
133_6_19,2,19
134_6_19,1,20
135_6_19,2,11
136_6_19,2,14
137_6_19,0,25
138_6_19,3,1
140_6_19,0,24
225_6_19,0,1
226_6_19,3,1
227_6_19,0,1
228_6_19,0,19
229_6_19,0,6
230_6_19,0,22
231_6_19,0,5
232_6_19,2,2
233_6_19,0,2
234_6_19,0,4
235_6_19,0,12
236_6_19,0,3
239_6_19,0,1
250_6_19,1,1
412_6_19,3,1
418_6_19,1,24
419_6_19,1,11
420_6_19,1,14
621_6_19,1,4
622_6_19,1,7
623_6_19,4,1
624_6_19,2,4
625_6_19,2,15
626_6_19,3,77
627_6_19,2,36
628_6_19,1,31
629_6_19,1,84
630_6_19,3,91
631_6_19,3,54
632_6_19,1,55
633_6_19,4,61
634_6_19,4,60
635_6_19,0,42
636_6_19,1,31
637_6_19,3,33
638_6_19,1,37
640_6_19,3,6
0_6_20,2,19
0_6_20,2,11
0_6_20,2,10
0_6_20,2,19
0_6_20,2,14
0_6_20,2,7
0_6_20,2,4
112_6_20,3,1
113_6_20,4,1
114_6_20,2,5
115_6_20,3,7
116_6_20,3,12
117_6_20,2,14
118_6_20,3,16
119_6_20,3,21
120_6_20,4,30
121_6_20,3,16
122_6_20,3,37
123_6_20,4,79
124_6_20,4,54
125_6_20,2,112
126_6_20,2,61
127_6_20,4,26
128_6_20,4,126
129_6_20,2,57
130_6_20,2,50
131_6_20,3,16
132_6_20,4,33
133_6_20,2,37
134_6_20,3,23
135_6_20,3,9
136_6_20,3,12
137_6_20,4,22
140_6_20,1,14
225_6_20,2,1
226_6_20,2,4
228_6_20,2,10
229_6_20,2,6
230_6_20,2,19
231_6_20,2,2
232_6_20,2,3
234_6_20,2,2
235_6_20,2,6
236_6_20,3,3
249_6_20,4,1
302_6_20,3,1
418_6_20,2,27
419_6_20,2,10
420_6_20,3,21
618_6_20,2,1
621_6_20,5,2
622_6_20,4,3
623_6_20,3,2
624_6_20,3,2
625_6_20,2,6
626_6_20,4,68
627_6_20,2,38
628_6_20,3,15
629_6_20,4,61
630_6_20,4,83
631_6_20,4,33
632_6_20,2,49
633_6_20,3,64
634_6_20,3,51
635_6_20,4,46
636_6_20,3,31
637_6_20,2,23
638_6_20,3,40
640_6_20,5,11
0_7_7,0,38
0_7_7,0,4
0_7_7,0,22
0_7_7,0,38
0_7_7,0,9
0_7_7,0,3
106_7_7,0,1
112_7_7,1,2
113_7_7,1,3
114_7_7,0,5
115_7_7,0,5
116_7_7,1,7
117_7_7,1,7
118_7_7,0,23
119_7_7,0,27
120_7_7,0,19
121_7_7,0,25
122_7_7,0,24
123_7_7,0,35
124_7_7,0,43
125_7_7,0,32
126_7_7,0,20
127_7_7,0,15
128_7_7,0,451
129_7_7,1,22
130_7_7,0,31
131_7_7,1,20
132_7_7,0,11
133_7_7,0,11
134_7_7,0,9
135_7_7,1,2
137_7_7,0,10
140_7_7,0,11
224_7_7,1,1
225_7_7,0,3
226_7_7,0,4
228_7_7,0,8
229_7_7,0,3
230_7_7,0,10
234_7_7,0,1
235_7_7,0,5
237_7_7,0,2
248_7_7,0,1
302_7_7,1,4
418_7_7,0,14
419_7_7,0,3
621_7_7,0,5
622_7_7,0,8
623_7_7,0,5
624_7_7,0,2
625_7_7,1,33
626_7_7,0,76
627_7_7,0,38
628_7_7,0,17
629_7_7,0,25
630_7_7,0,42
631_7_7,0,53
632_7_7,0,31
633_7_7,0,24
634_7_7,0,49
635_7_7,0,26
636_7_7,0,19
637_7_7,0,10
638_7_7,0,18
0_7_8,0,27
0_7_8,0,8
0_7_8,0,19
0_7_8,0,33
0_7_8,0,13
0_7_8,0,2
0_7_8,0,3
112_7_8,2,7
113_7_8,0,6
114_7_8,0,3
115_7_8,1,6
116_7_8,1,11
117_7_8,0,11
118_7_8,0,30
119_7_8,1,12
120_7_8,0,22
121_7_8,0,39
122_7_8,0,33
123_7_8,1,47
124_7_8,0,33
125_7_8,1,57
126_7_8,0,36
127_7_8,0,39
128_7_8,0,195
129_7_8,0,49
130_7_8,0,34
131_7_8,0,21
132_7_8,0,13
133_7_8,0,7
134_7_8,0,3
135_7_8,0,1
136_7_8,0,2
137_7_8,0,14
140_7_8,0,26
224_7_8,0,3
225_7_8,0,1
226_7_8,0,3
227_7_8,0,2
228_7_8,0,8
229_7_8,0,2
230_7_8,0,14
231_7_8,0,2
235_7_8,0,2
237_7_8,0,1
418_7_8,0,8
419_7_8,0,5
420_7_8,0,7
621_7_8,0,5
622_7_8,0,3
623_7_8,0,2
624_7_8,0,4
625_7_8,0,22
626_7_8,0,83
627_7_8,0,47
628_7_8,0,26
629_7_8,0,22
630_7_8,0,44
631_7_8,0,78
632_7_8,0,52
633_7_8,0,53
634_7_8,0,41
635_7_8,0,27
636_7_8,0,21
637_7_8,0,28
638_7_8,0,24
640_7_8,1,2
0_7_9,0,26
0_7_9,0,5
0_7_9,0,8
0_7_9,0,24
0_7_9,0,2
0_7_9,0,12
0_7_9,0,1
0_7_9,0,4
112_7_9,1,3
113_7_9,0,2
114_7_9,0,2
115_7_9,1,1
116_7_9,0,6
117_7_9,1,9
118_7_9,1,15
119_7_9,0,14
120_7_9,0,21
121_7_9,0,47
122_7_9,0,26
123_7_9,0,49
124_7_9,0,25
125_7_9,0,61
126_7_9,0,25
127_7_9,0,16
128_7_9,0,189
129_7_9,0,50
130_7_9,3,40
131_7_9,0,29
132_7_9,1,24
133_7_9,1,14
134_7_9,0,6
135_7_9,2,6
136_7_9,0,4
137_7_9,0,14
140_7_9,0,26
213_7_9,2,1
224_7_9,0,1
225_7_9,0,3
226_7_9,0,1
227_7_9,0,2
228_7_9,0,11
229_7_9,0,6
230_7_9,0,14
232_7_9,0,3
234_7_9,0,1
235_7_9,1,4
236_7_9,0,1
237_7_9,1,1
418_7_9,0,8
419_7_9,0,5
420_7_9,0,6
618_7_9,3,1
621_7_9,0,2
622_7_9,0,3
623_7_9,0,1
624_7_9,0,5
625_7_9,0,20
626_7_9,0,59
627_7_9,0,25
628_7_9,0,22
629_7_9,0,18
630_7_9,0,37
631_7_9,0,69
632_7_9,0,60
633_7_9,0,58
634_7_9,0,52
635_7_9,0,31
636_7_9,0,17
637_7_9,0,18
638_7_9,1,15
640_7_9,2,8
0_7_10,3,34
0_7_10,3,4
0_7_10,3,11
0_7_10,3,31
0_7_10,3,11
0_7_10,3,1
0_7_10,3,2
0_7_10,3,6
112_7_10,1,1
113_7_10,1,2
115_7_10,0,3
116_7_10,0,1
117_7_10,0,2
118_7_10,0,13
119_7_10,2,24
120_7_10,0,16
121_7_10,0,44
122_7_10,0,31
123_7_10,0,41
124_7_10,2,36
125_7_10,1,53
126_7_10,0,30
127_7_10,1,23
128_7_10,2,243
129_7_10,1,43
130_7_10,1,33
131_7_10,0,21
132_7_10,1,14
133_7_10,0,24
134_7_10,0,5
135_7_10,2,3
136_7_10,1,2
137_7_10,1,9
138_7_10,3,1
140_7_10,0,13
225_7_10,0,1
226_7_10,0,2
228_7_10,1,10
229_7_10,1,5
230_7_10,1,9
234_7_10,4,1
235_7_10,5,2
236_7_10,2,1
418_7_10,0,5
419_7_10,0,7
420_7_10,2,7
423_7_10,2,1
621_7_10,0,2
622_7_10,0,4
623_7_10,1,2
624_7_10,0,2
625_7_10,0,16
626_7_10,0,64
627_7_10,0,40
628_7_10,1,25
629_7_10,0,28
630_7_10,0,30
631_7_10,0,61
632_7_10,1,60
633_7_10,0,45
634_7_10,0,34
635_7_10,0,27
636_7_10,0,20
637_7_10,0,26
638_7_10,1,34
640_7_10,0,3
0_7_11,1,40
0_7_11,1,14
0_7_11,1,6
0_7_11,1,21
0_7_11,1,10
0_7_11,1,1
0_7_11,1,2
0_7_11,1,6
111_7_11,2,1
112_7_11,0,3
113_7_11,3,1
114_7_11,3,1
116_7_11,1,2
117_7_11,3,11
118_7_11,1,21
119_7_11,2,20
120_7_11,3,20
121_7_11,0,30
122_7_11,2,34
123_7_11,3,45
124_7_11,1,50
125_7_11,0,79
126_7_11,0,38
127_7_11,1,10
128_7_11,1,226
129_7_11,0,27
130_7_11,1,28
131_7_11,1,31
132_7_11,1,8
133_7_11,1,11
134_7_11,2,8
135_7_11,3,10
136_7_11,2,2
137_7_11,1,22
138_7_11,2,2
140_7_11,0,10
226_7_11,2,2
227_7_11,2,1
228_7_11,1,9
229_7_11,0,9
230_7_11,0,20
236_7_11,0,4
250_7_11,2,1
301_7_11,1,1
418_7_11,1,16
419_7_11,1,15
420_7_11,1,17
423_7_11,2,1
617_7_11,2,1
622_7_11,3,1
623_7_11,2,3
625_7_11,0,20
626_7_11,3,70
627_7_11,2,44
628_7_11,2,33
629_7_11,3,52
630_7_11,3,46
631_7_11,3,62
632_7_11,2,40
633_7_11,2,47
634_7_11,2,62
635_7_11,3,24
636_7_11,2,32
637_7_11,2,20
638_7_11,2,23
640_7_11,4,4
0_7_12,1,44
0_7_12,1,11
0_7_12,1,8
0_7_12,1,20
0_7_12,1,6
0_7_12,1,1
0_7_12,1,6
0_7_12,1,3
113_7_12,0,2
114_7_12,0,1
115_7_12,0,1
116_7_12,0,3
117_7_12,0,14
118_7_12,0,17
119_7_12,1,18
120_7_12,1,26
121_7_12,2,50
122_7_12,1,54
123_7_12,3,70
124_7_12,1,54
125_7_12,0,55
126_7_12,0,37
127_7_12,1,15
128_7_12,1,176
129_7_12,0,38
130_7_12,0,36
131_7_12,2,22
132_7_12,1,18
133_7_12,2,17
134_7_12,1,16
135_7_12,1,7
136_7_12,2,5
137_7_12,0,23
140_7_12,0,20
224_7_12,0,1
225_7_12,1,5
226_7_12,0,1
228_7_12,0,7
229_7_12,1,6
230_7_12,2,9
231_7_12,1,2
232_7_12,1,1
233_7_12,2,1
234_7_12,4,3
235_7_12,2,5
236_7_12,0,3
237_7_12,1,3
239_7_12,0,1
247_7_12,2,1
250_7_12,3,1
415_7_12,0,1
418_7_12,0,14
419_7_12,0,14
420_7_12,0,27
423_7_12,0,3
621_7_12,1,1
622_7_12,0,4
623_7_12,1,5
624_7_12,2,10
625_7_12,1,49
626_7_12,0,118
627_7_12,0,53
628_7_12,1,55
629_7_12,0,66
630_7_12,0,93
631_7_12,0,60
632_7_12,0,91
633_7_12,0,72
634_7_12,0,53
635_7_12,0,49
636_7_12,0,27
637_7_12,0,28
638_7_12,1,30
640_7_12,0,17
0_7_13,0,47
0_7_13,0,5
0_7_13,0,19
0_7_13,0,26
0_7_13,0,6
0_7_13,0,7
0_7_13,0,5
112_7_13,1,2
113_7_13,3,1
114_7_13,1,2
115_7_13,2,1
116_7_13,2,2
117_7_13,1,10
118_7_13,0,20
119_7_13,1,11
120_7_13,0,25
121_7_13,1,46
122_7_13,1,46
123_7_13,0,63
124_7_13,1,56
125_7_13,0,78
126_7_13,1,39
127_7_13,0,13
128_7_13,0,192
129_7_13,0,44
130_7_13,1,23
131_7_13,2,22
132_7_13,0,23
133_7_13,0,18
134_7_13,0,15
135_7_13,2,12
136_7_13,0,4
137_7_13,1,20
140_7_13,0,19
225_7_13,0,1
227_7_13,0,4
228_7_13,1,6
229_7_13,1,5
230_7_13,1,15
232_7_13,0,1
234_7_13,0,1
235_7_13,0,3
236_7_13,1,1
238_7_13,1,1
241_7_13,2,1
416_7_13,0,6
418_7_13,0,17
419_7_13,1,10
420_7_13,0,20
423_7_13,0,1
621_7_13,0,16
622_7_13,1,5
623_7_13,0,4
624_7_13,0,3
625_7_13,0,28
626_7_13,0,68
627_7_13,0,33
628_7_13,0,23
629_7_13,0,61
630_7_13,0,84
631_7_13,0,61
632_7_13,0,73
633_7_13,0,70
634_7_13,0,92
635_7_13,0,58
636_7_13,0,38
637_7_13,0,31
638_7_13,0,32
640_7_13,1,12
0_7_14,0,42
0_7_14,0,8
0_7_14,0,22
0_7_14,0,20
0_7_14,0,14
0_7_14,0,1
0_7_14,0,5
0_7_14,0,9
113_7_14,1,1
114_7_14,0,2
115_7_14,0,1
116_7_14,1,3
117_7_14,1,6
118_7_14,1,15
119_7_14,0,14
120_7_14,0,31
121_7_14,0,42
122_7_14,1,46
123_7_14,0,69
124_7_14,0,69
125_7_14,0,101
126_7_14,0,42
127_7_14,0,16
128_7_14,0,174
129_7_14,1,47
130_7_14,0,24
131_7_14,0,36
132_7_14,1,18
133_7_14,1,23
134_7_14,4,19
135_7_14,2,11
136_7_14,2,5
137_7_14,0,8
140_7_14,0,21
221_7_14,1,1
224_7_14,0,1
226_7_14,0,2
227_7_14,0,3
228_7_14,0,6
229_7_14,0,7
230_7_14,0,18
231_7_14,0,2
234_7_14,0,2
235_7_14,0,2
236_7_14,0,1
418_7_14,0,17
419_7_14,0,8
420_7_14,0,21
621_7_14,0,3
622_7_14,0,5
623_7_14,1,3
624_7_14,0,4
625_7_14,0,19
626_7_14,0,96
627_7_14,0,57
628_7_14,0,28
629_7_14,0,63
630_7_14,0,47
631_7_14,0,69
632_7_14,0,54
633_7_14,1,68
634_7_14,0,48
635_7_14,0,44
636_7_14,0,33
637_7_14,0,16
638_7_14,1,28
640_7_14,0,7
0_7_15,0,46
0_7_15,0,6
0_7_15,0,24
0_7_15,0,33
0_7_15,0,8
0_7_15,0,3
0_7_15,0,4
0_7_15,0,5
112_7_15,0,1
113_7_15,0,2
114_7_15,0,2
115_7_15,0,4
116_7_15,1,3
117_7_15,0,8
118_7_15,1,22
119_7_15,0,16
120_7_15,0,26
121_7_15,1,36
122_7_15,0,71
123_7_15,0,59
124_7_15,1,56
125_7_15,0,110
126_7_15,0,30
127_7_15,0,16
128_7_15,0,164
129_7_15,0,43
130_7_15,0,27
131_7_15,0,17
132_7_15,0,16
133_7_15,0,17
134_7_15,1,13
135_7_15,1,3
136_7_15,0,4
137_7_15,0,7
140_7_15,0,15
224_7_15,0,3
225_7_15,0,4
227_7_15,0,3
228_7_15,0,5
229_7_15,0,3
230_7_15,0,6
231_7_15,0,1
234_7_15,0,3
418_7_15,0,15
419_7_15,0,11
420_7_15,0,20
423_7_15,0,1
621_7_15,0,1
622_7_15,2,3
623_7_15,2,4
624_7_15,1,1
625_7_15,2,27
626_7_15,1,94
627_7_15,0,43
628_7_15,0,35
629_7_15,0,47
630_7_15,0,39
631_7_15,0,45
632_7_15,1,66
633_7_15,1,47
634_7_15,0,47
635_7_15,0,43
636_7_15,0,27
637_7_15,0,22
638_7_15,0,29
640_7_15,1,9
0_7_16,0,44
0_7_16,0,5
0_7_16,0,9
0_7_16,0,22
0_7_16,0,11
0_7_16,0,1
114_7_16,0,1
115_7_16,0,3
116_7_16,0,7
117_7_16,0,7
118_7_16,0,22
119_7_16,0,19
120_7_16,0,34
121_7_16,0,33
122_7_16,0,40
123_7_16,0,49
124_7_16,0,58
125_7_16,0,82
126_7_16,0,24
127_7_16,0,17
128_7_16,0,131
129_7_16,0,38
130_7_16,1,17
131_7_16,0,22
132_7_16,0,19
133_7_16,0,12
134_7_16,0,9
135_7_16,1,9
136_7_16,0,2
137_7_16,1,11
140_7_16,0,17
224_7_16,0,1
225_7_16,0,3
226_7_16,0,3
227_7_16,0,2
228_7_16,0,12
229_7_16,0,1
230_7_16,0,5
232_7_16,0,1
234_7_16,0,1
235_7_16,0,2
418_7_16,0,5
419_7_16,0,9
420_7_16,0,11
621_7_16,0,5
622_7_16,0,1
623_7_16,1,1
624_7_16,1,4
625_7_16,0,20
626_7_16,0,103
627_7_16,0,37
628_7_16,0,19
629_7_16,0,46
630_7_16,0,37
631_7_16,0,28
632_7_16,1,43
633_7_16,0,43
634_7_16,0,50
635_7_16,0,36
636_7_16,0,36
637_7_16,0,23
638_7_16,0,26
640_7_16,0,5
0_7_17,0,39
0_7_17,0,5
0_7_17,0,14
0_7_17,0,36
0_7_17,0,8
0_7_17,0,4
112_7_17,0,3
114_7_17,0,3
115_7_17,1,5
116_7_17,0,3
117_7_17,0,16
118_7_17,1,22
119_7_17,0,9
120_7_17,0,38
121_7_17,0,41
122_7_17,0,28
123_7_17,0,53
124_7_17,0,55
125_7_17,0,79
126_7_17,0,52
127_7_17,0,13
128_7_17,0,138
129_7_17,0,53
130_7_17,0,30
131_7_17,1,28
132_7_17,0,16
133_7_17,0,12
134_7_17,0,6
135_7_17,2,5
136_7_17,2,6
137_7_17,0,13
140_7_17,0,15
224_7_17,0,2
225_7_17,0,4
226_7_17,0,1
227_7_17,0,1
228_7_17,0,6
229_7_17,0,2
230_7_17,0,7
232_7_17,0,2
234_7_17,0,2
236_7_17,0,1
239_7_17,0,1
302_7_17,0,1
415_7_17,1,2
416_7_17,0,1
418_7_17,0,11
419_7_17,0,5
420_7_17,0,7
615_7_17,1,1
621_7_17,0,3
622_7_17,0,3
623_7_17,0,2
624_7_17,0,7
625_7_17,1,20
626_7_17,0,101
627_7_17,0,47
628_7_17,0,41
629_7_17,0,91
630_7_17,0,83
631_7_17,0,33
632_7_17,1,60
633_7_17,0,58
634_7_17,0,68
635_7_17,0,39
636_7_17,0,48
637_7_17,0,29
638_7_17,0,42
640_7_17,1,12
0_7_18,0,42
0_7_18,0,11
0_7_18,0,16
0_7_18,0,38
0_7_18,0,11
0_7_18,0,3
0_7_18,0,3
112_7_18,0,2
113_7_18,0,2
116_7_18,0,5
117_7_18,0,11
118_7_18,0,13
119_7_18,0,16
120_7_18,0,28
121_7_18,1,44
122_7_18,0,50
123_7_18,0,70
124_7_18,0,80
125_7_18,0,120
126_7_18,0,52
127_7_18,0,24
128_7_18,0,180
129_7_18,0,55
130_7_18,1,41
131_7_18,0,45
132_7_18,0,33
133_7_18,0,20
134_7_18,0,27
135_7_18,1,8
136_7_18,0,8
137_7_18,0,13
140_7_18,0,22
224_7_18,0,1
225_7_18,0,2
227_7_18,0,5
228_7_18,0,13
229_7_18,0,9
230_7_18,0,8
231_7_18,0,1
232_7_18,0,5
233_7_18,0,1
234_7_18,0,4
235_7_18,0,5
236_7_18,0,1
237_7_18,0,1
416_7_18,0,3
418_7_18,0,18
419_7_18,0,15
420_7_18,0,9
423_7_18,0,5
613_7_18,0,1
621_7_18,0,3
622_7_18,0,3
623_7_18,0,4
624_7_18,0,3
625_7_18,0,16
626_7_18,0,115
627_7_18,0,43
628_7_18,0,45
629_7_18,0,104
630_7_18,0,86
631_7_18,0,68
632_7_18,1,76
633_7_18,0,77
634_7_18,0,87
635_7_18,0,54
636_7_18,1,58
637_7_18,0,32
638_7_18,1,39
640_7_18,0,12
0_7_19,1,43
0_7_19,1,16
0_7_19,1,11
0_7_19,1,33
0_7_19,1,16
0_7_19,1,2
112_7_19,1,1
113_7_19,2,2
114_7_19,2,2
115_7_19,1,4
116_7_19,1,6
117_7_19,2,8
118_7_19,2,18
119_7_19,1,11
120_7_19,1,29
121_7_19,2,43
122_7_19,3,39
123_7_19,2,62
124_7_19,2,57
125_7_19,2,107
126_7_19,1,43
127_7_19,1,24
128_7_19,1,192
129_7_19,1,47
130_7_19,2,48
131_7_19,3,34
132_7_19,1,30
133_7_19,1,29
134_7_19,2,26
135_7_19,1,8
136_7_19,3,7
137_7_19,1,21
138_7_19,3,2
140_7_19,1,22
224_7_19,0,1
225_7_19,0,1
226_7_19,0,2
227_7_19,0,1
228_7_19,0,20
229_7_19,0,9
230_7_19,0,26
231_7_19,0,1
232_7_19,0,2
234_7_19,0,2
235_7_19,0,6
236_7_19,0,1
418_7_19,0,19
419_7_19,0,15
420_7_19,1,8
423_7_19,0,2
621_7_19,0,5
622_7_19,1,3
623_7_19,0,3
624_7_19,0,6
625_7_19,0,18
626_7_19,0,84
627_7_19,0,38
628_7_19,0,28
629_7_19,0,77
630_7_19,0,113
631_7_19,0,71
632_7_19,0,56
633_7_19,0,106
634_7_19,0,72
635_7_19,0,45
636_7_19,0,43
637_7_19,0,36
638_7_19,1,39
640_7_19,2,13
0_7_20,1,29
0_7_20,1,4
0_7_20,1,7
0_7_20,1,44
0_7_20,1,13
0_7_20,1,3
0_7_20,1,2
0_7_20,1,5
106_7_20,3,1
113_7_20,2,1
114_7_20,2,4
115_7_20,2,2
116_7_20,2,8
117_7_20,3,13
118_7_20,3,7
119_7_20,2,11
120_7_20,4,33
121_7_20,2,24
122_7_20,2,43
123_7_20,4,62
124_7_20,3,59
125_7_20,2,104
126_7_20,2,54
127_7_20,4,28
128_7_20,4,135
129_7_20,2,47
130_7_20,3,53
131_7_20,2,27
132_7_20,4,36
133_7_20,3,31
134_7_20,3,20
135_7_20,3,7
136_7_20,3,6
137_7_20,4,23
138_7_20,4,2
140_7_20,1,25
221_7_20,5,1
224_7_20,2,1
225_7_20,2,2
226_7_20,2,3
227_7_20,2,1
228_7_20,2,11
229_7_20,2,4
230_7_20,2,16
231_7_20,2,4
232_7_20,2,7
234_7_20,4,4
235_7_20,5,3
236_7_20,3,3
239_7_20,4,1
415_7_20,2,1
418_7_20,2,25
419_7_20,2,9
420_7_20,2,12
423_7_20,2,7
621_7_20,4,3
622_7_20,3,5
623_7_20,2,1
624_7_20,2,1
625_7_20,3,8
626_7_20,4,61
627_7_20,2,41
628_7_20,2,31
629_7_20,4,60
630_7_20,2,127
631_7_20,4,39
632_7_20,2,66
633_7_20,3,102
634_7_20,2,56
635_7_20,4,41
636_7_20,3,27
637_7_20,2,40
638_7_20,2,51
640_7_20,5,6
112_8_7,1,2
113_8_7,2,8
114_8_7,2,6
115_8_7,0,6
116_8_7,0,12
117_8_7,1,8
118_8_7,0,20
119_8_7,0,22
120_8_7,0,17
121_8_7,0,25
122_8_7,0,21
123_8_7,0,38
124_8_7,0,35
125_8_7,0,28
126_8_7,0,19
127_8_7,0,15
128_8_7,0,449
129_8_7,0,21
130_8_7,0,34
131_8_7,0,17
132_8_7,0,21
133_8_7,0,9
134_8_7,1,8
135_8_7,0,2
136_8_7,2,3
137_8_7,0,7
138_8_7,0,1
140_8_7,0,15
221_8_7,1,1
224_8_7,0,2
225_8_7,0,4
226_8_7,0,5
227_8_7,0,2
228_8_7,0,6
230_8_7,0,10
231_8_7,0,1
232_8_7,0,1
234_8_7,0,1
235_8_7,0,6
236_8_7,0,3
237_8_7,0,2
302_8_7,1,3
415_8_7,1,1
418_8_7,0,5
419_8_7,0,6
420_8_7,0,2
621_8_7,1,5
622_8_7,0,8
623_8_7,1,10
624_8_7,1,4
625_8_7,0,31
626_8_7,0,70
627_8_7,0,37
628_8_7,0,21
629_8_7,0,9
630_8_7,0,33
631_8_7,0,61
632_8_7,0,39
633_8_7,0,32
634_8_7,0,42
635_8_7,0,25
636_8_7,0,26
637_8_7,0,15
638_8_7,0,24
640_8_7,0,1
112_8_8,1,1
113_8_8,0,7
114_8_8,1,5
115_8_8,0,7
116_8_8,0,7
117_8_8,0,11
118_8_8,0,30
119_8_8,0,23
120_8_8,0,28
121_8_8,0,33
122_8_8,0,24
123_8_8,0,42
124_8_8,0,45
125_8_8,0,65
126_8_8,0,33
127_8_8,2,44
128_8_8,4,285
129_8_8,2,41
130_8_8,1,24
131_8_8,2,23
132_8_8,3,14
133_8_8,3,13
134_8_8,1,8
135_8_8,1,5
136_8_8,1,2
137_8_8,1,14
140_8_8,1,31
224_8_8,0,3
225_8_8,0,2
226_8_8,0,3
227_8_8,0,1
228_8_8,0,9
229_8_8,2,5
230_8_8,2,22
231_8_8,1,4
232_8_8,1,1
234_8_8,1,1
235_8_8,0,2
237_8_8,0,3
247_8_8,1,1
248_8_8,1,1
302_8_8,1,1
415_8_8,0,1
418_8_8,0,10
419_8_8,0,7
420_8_8,0,7
423_8_8,0,2
612_8_8,1,1
621_8_8,0,6
622_8_8,1,5
623_8_8,1,1
624_8_8,1,6
625_8_8,2,24
626_8_8,1,65
627_8_8,1,25
628_8_8,1,19
629_8_8,0,19
630_8_8,1,44
631_8_8,0,90
632_8_8,0,61
633_8_8,0,46
634_8_8,0,43
635_8_8,0,27
636_8_8,0,31
637_8_8,0,32
638_8_8,0,17
640_8_8,0,1
112_8_9,1,1
113_8_9,0,4
114_8_9,0,2
115_8_9,1,2
116_8_9,1,6
117_8_9,1,5
118_8_9,0,23
119_8_9,0,18
120_8_9,0,27
121_8_9,1,34
122_8_9,0,30
123_8_9,0,64
124_8_9,1,47
125_8_9,0,64
126_8_9,0,22
127_8_9,0,42
128_8_9,0,250
129_8_9,0,43
130_8_9,1,49
131_8_9,0,15
132_8_9,0,43
133_8_9,0,25
134_8_9,1,12
135_8_9,1,3
136_8_9,0,10
137_8_9,0,29
138_8_9,2,2
140_8_9,0,13
224_8_9,0,2
225_8_9,0,2
226_8_9,0,5
227_8_9,0,2
228_8_9,1,19
229_8_9,0,4
230_8_9,0,10
231_8_9,0,2
232_8_9,1,1
233_8_9,0,1
234_8_9,0,1
235_8_9,0,3
236_8_9,0,1
418_8_9,0,4
419_8_9,0,3
420_8_9,0,9
423_8_9,0,1
621_8_9,0,3
622_8_9,0,7
623_8_9,0,4
624_8_9,1,3
625_8_9,0,27
626_8_9,0,98
627_8_9,0,36
628_8_9,0,40
629_8_9,0,34
630_8_9,0,70
631_8_9,0,91
632_8_9,0,99
633_8_9,0,70
634_8_9,0,65
635_8_9,0,28
636_8_9,0,31
637_8_9,0,21
638_8_9,0,35
640_8_9,0,4
113_8_10,0,1
114_8_10,0,2
116_8_10,0,8
117_8_10,0,6
118_8_10,2,10
119_8_10,2,20
120_8_10,1,28
121_8_10,0,31
122_8_10,2,40
123_8_10,0,46
124_8_10,1,43
125_8_10,0,58
126_8_10,0,27
127_8_10,0,20
128_8_10,1,254
129_8_10,1,43
130_8_10,0,35
131_8_10,0,15
132_8_10,3,10
133_8_10,1,16
134_8_10,0,19
135_8_10,1,9
136_8_10,1,5
137_8_10,0,17
138_8_10,2,2
140_8_10,0,14
226_8_10,1,2
228_8_10,0,7
229_8_10,0,5
230_8_10,0,13
231_8_10,0,1
232_8_10,0,2
235_8_10,0,1
244_8_10,1,1
418_8_10,0,6
419_8_10,0,8
